| true Vpp | calculated, mW | measured, mW |
| -------- | -------------- | ------------ |
| 2.4      | 14.4           | 14           |
| 4.64     | 53.82          | 52           |
| 8.6      | 184.9          | 166          |
| 16       | 640            | 561          |
| 20.3     | 1030           | 904          |
| 27.4     | 1877           | 1611         |
| 35.9     | 3222           | 2774         |
| 44.2     | 4884           | 4176         |
| 50.6     | 6401           | 5373         |
