| true Vpp | calculated, mW | measured, mW |
| -------- | -------------- | ------------ |
| 2.4      | 14.4           | 14           |
| 5        | 62.5           | 60           |
| 8.6      | 184            | 192          |
| 19.6     | 960.4          | 880          |
| 23.2     | 1346           | 1241         |
| 26.6     | 1769           | 1559         |
| 31.7     | 2512           | 2249         |
| 43.1     | 4644           | 4144         |
| 52.7     | 6943           | 6091         |
