| true Vpp | calculated, mW | measured, mW |
| -------- | -------------- | ------------ |
| 3        | 22.5           | 23           |
| 6.3      | 99.22          | 81           |
| 15.3     | 585.2          | 472          |
| 20       | 1000           | 785          |
| 23.5     | 1381           | 1123         |
| 34.6     | 2993           | 2000         |
| 43.3     | 4687           | 3093         |
| 53       | 7022           | 4654         |
